eic_code,eic_display_name,eic_long_name,countries
10Y1001A1001A016,GB-NI,Northern Ireland,['gb-nie']
10Y1001A1001A39I,EE,Estonia,['ee']
10Y1001A1001A44P,SE1,Swedish Elspot Area 1,['se']
10Y1001A1001A45N,SE2,Swedish Elspot Area 2,['se']
10Y1001A1001A46L,SE3,Swedish Elspot Area 3,['se']
10Y1001A1001A47J,SE4,Swedish Elspot Area 4,['se']
10Y1001A1001A48H,NO5,Norwegian Area Elspot Area 5,['no']
10Y1001A1001A49F,RUSSIAN_AREA,Russian area,['ru']
10Y1001A1001A50U,KALININGRAD_AREA,Kaliningrad area,['ru']
10Y1001A1001A51S,#N/A,#N/A,['by']
10Y1001A1001A59C,SEM,Ireland and Northern Ireland,"['gb-nie', 'ie']"
10Y1001A1001A63L,DE_AT_LU,Germany_Austria_Luxemburg,"['de', 'at', 'lu']"
10Y1001A1001A64J,FICTIT_AREA_1A,Norwegian Fictitious Area 1A,['no']
10Y1001A1001A65H,DK,Denmark,['dk']
10Y1001A1001A66F,IT-GR,Italy Greece,"['it', 'el']"
10Y1001A1001A67D,IT-NORTH_SI,Italy North_Slovenia,"['it', 'si']"
10Y1001A1001A68B,IT-NORTH_CH,Italy North_Switzerland,"['it', 'ch']"
10Y1001A1001A699,#N/A,#N/A,['it']
10Y1001A1001A70O,IT-CENTRE_NORTH,Italy Centre-North,['it']
10Y1001A1001A71M,IT-CENTRE_SOUTH,Italy Centre-South,['it']
10Y1001A1001A72K,#N/A,#N/A,['it']
10Y1001A1001A73I,IT-NORTH,Italy North,['it']
10Y1001A1001A74G,IT-SARDINIA,Italy Sardinia,['it']
10Y1001A1001A75E,IT-SICILY,Italy Sicily,['it']
10Y1001A1001A76C,#N/A,#N/A,['it']
10Y1001A1001A77A,#N/A,#N/A,['it']
10Y1001A1001A788,IT-SOUTH,Italy South,['it']
10Y1001A1001A796,CA-------DENMARK,Control Area Denmark,['de']
10Y1001A1001A80L,IT-NORTH_AT,Italy North_Austria,"['it', 'at']"
10Y1001A1001A81J,IT-NORTH_FR,Italy North_France,"['it', 'fr']"
10Y1001A1001A82H,DE_LU,Germany_Luxemburg,"['de', 'lu']"
10Y1001A1001A83F,DE,Germany,['de']
10Y1001A1001A84D,IT-MACRZONENORTH,Market Balance Area MACROZONE NORTH,['it']
10Y1001A1001A85B,IT-MACRZONESOUTH,Market Balance Area MACROZONE SOUTH,['it']
10Y1001A1001A869,UA-DOB_TPP,Ukrainian Area of Dobrotvirska TPP,['ua']
10Y1001A1001A877,IT-MT,Italy_Malta,"['it', 'mt']"
10Y1001A1001A885,IT-SACO_AC,Italy Saco_AC,['it']
10Y1001A1001A893,IT-SACODC,Italy Saco_DC,['it']
10Y1001A1001A91G,NORDIC_AREA,Nordic Market Area,['nordic_region']
10Y1001A1001A92E,UK,United Kingdom,['uk']
10Y1001A1001A93C,MALTA_AREA,CONTROL AREA ITALY MALTA,['mt']
10Y1001A1001A990,MOLDOVA,Moldova,['md']
10Y1001A1001B004,ARMENIA,Armenia,['am']
10Y1001A1001B012,GEORGIA,Georgia,['ge']
10Y1001A1001B05V,AZERBAIJAN,Azerbaijan,['az']
10Y1001C--00002H,LFC-AREA-AMPR-LU,Load-frequency control area of Amprion GmbH-Luxembourg,['lu']
10Y1001C--00003F,#N/A,#N/A,['ua']
10Y1001C--000182,UA-IPS,Ukraine IPS,['ua']
10Y1001C--00031A,WE,Western Europe,['we_region']
10Y1001C--00038X,CZ-DE-SK-LT-SE4,Polish optimization area PLC,"['cz', 'de', 'sk', 'lt', 'se']"
10Y1001C--00059P,CORE,Core CCR,['core_region']
10Y1001C--00085O,MFRR_REGION,mFRR region,['mfrr']
10Y1001C--00090V,AFRR_REGION,aFRR Region,['afrr']
10Y1001C--00095L,CCR-SWE,Capacity Calculation Region SWE,['swe']
10Y1001C--00096J,IT-CALABRIA,Italy Calabria,['it']
10Y1001C--00098F,FR_UK_IFA_BZN,IFA Bidding Zone,['gb']
10Y1001C--00100H,CAKOSTT,Control Area Kosovo*,['xk']
10Y1001C--00119X,INREGION,Imbalance netting region,['in']
10Y1001C--001219,NO_FICT_AREA_2A,Norwegian Fictitious Area 2A,['no']
10Y1001C--00137V,CCR-ITALYNORTH,Capacity Calculation Region Italy North,['it']
10Y1001C--00138T,CCR-GRIT,Capacity Calculation Region Greece Italy,"['gr', 'it']"
10YAL-KESH-----5,AL,Albania,['al']
10YAT-APG------L,AT,Austria,['at']
10YBA-JPCC-----D,BA,Bosnia and Herzegovina,['ba']
10YBE----------2,BE,Belgium,['be']
10YCA-BULGARIA-R,BG,Bulgaria,['bg']
10YCB-GERMANY--8,#N/A,#N/A,"['de', 'dk', 'lu']"
10YCB-JIEL-----9,CB-RS_MK_ME,CB Serbia_FYROM_Montenegro,"['rs', 'mk', 'me']"
10YCB-POLAND---Z,CB-PL,CB Poland,['pl']
10YCB-SI-HR-BA-3,CB-SI_HR_BA,CB Slovenia_Croatia_Bosnia and Hercegovina,"['si', 'hr', 'ba']"
10YCH-SWISSGRIDZ,CH,Switzerland,['ch']
10YCS-CG-TSO---S,#N/A,#N/A,['me']
10YCS-SERBIATSOV,RS,Serbia,"['rs', 'mk', 'me']"
10YCY-1001A0003J,CY,Cyprus,['cy']
10YCZ-CEPS-----N,CZ,Czech Republic,['cz']
10YDE-ENBW-----N,DE-TRANSNETBW,Germany TransnetBW,['de']
10YDE-EON------1,DE-TENNET_DE,Germany TenneT DE,['de']
10YDE-RWENET---I,DE-AMPRION-SCHED,Amprion GmbH,['de']
10YDE-VE-------2,DE-50HERTZ,Germany 50Hertz,['de']
10YDK-1--------W,DK1,Denmark DK1,['dk']
10YDK-1-------AA,OPT_AREA_DENMARK,Optimization area Denmark1,['dk']
10YDK-2--------M,DK2,Denmark DK2,['dk']
10YDOM-1001A082L,DE-PL-CZ-AREA,"Technical Profile between Germany (50Hertz), Poland and Czech Republic","['pl', 'cz']"
10YDOM-CZ-DE-SKK,#N/A,#N/A,"['cz', 'de', 'sk']"
10YDOM-PL-SE-LT2,LT-SE4-AREA,Polish optimization area PLA,"['lt', 'se']"
10YDOM-REGION-1V,CWE-EU,CWE Region,['cwe_region']
10YES-REE------0,#N/A,#N/A,['es']
10YEU-CONT-SYNC0,EU-CONTINENT-SYN,Synchronous Zone of Continental Europe,['continental_europe']
10YFI-1--------U,FI,Finland,['fi']
10YFR-RTE------C,FR,France,['fr']
10YGB----------A,GB,Great Britain,['gb']
10YGR-HTSO-----Y,GR,Greece,['gr']
10YHR-HEP------M,#N/A,#N/A,['hr']
10YHU-MAVIR----U,HU,Hungary,['hu']
10YIE-1001A00010,IE,Ireland,['ie']
10YIT-GRTN-----B,IT,Italy,['it']
10YLT-1001A0008Q,LT,Lithuania,"['lt', 'se']"
10YLU-CEGEDEL-NQ,LU,Luxembourg,['lu']
10YLV-1001A00074,LV,Latvia,['lv']
10YMK-MEPSO----8,MK,FYROM,['mk']
10YNL----------L,NL,Netherlands,['nl']
10YNO-0--------C,NO,Norway,['no']
10YNO-1--------2,NO1,Norwegian Area Elspot Area 1,['no']
10YNO-2--------T,NO2,Norwegian Area Elspot Area 2,['no']
10YNO-3--------J,NO3,Norwegian Area Elspot Area 3,['no']
10YNO-4--------9,NO4,Norwegian Area Elspot Area 4,['no']
10YPL-AREA-----S,PL,Poland,['pl']
10YPT-REN------W,PT,Portugal,['pt']
